step,task,model,cohort,window,auroc_mean,auroc_std,auprc_mean,auprc_std,test_auroc,test_auprc,auroc_mean_std,auprc_mean_std,test_auroc_fmt,test_auprc_fmt,source_file
structured,mortality,LogisticRegression,aki,12h,0.7982685464898027,0.0051708553494345,0.4283521410606313,0.0092259447517397,0.7856603046020764,0.4042844989383806,0.7983 +/- 0.0052,0.4284 +/- 0.0092,0.7857,0.4043,structured_results.csv
structured,mortality,XGBoost,aki,12h,0.8168921231397468,0.0040539982079049,0.4614906124915768,0.0076196870168243,0.8082846846703008,0.4423595308452243,0.8169 +/- 0.0041,0.4615 +/- 0.0076,0.8083,0.4424,structured_results.csv
structured,prolonged_los,LogisticRegression,all,12h,0.7519505089132232,0.007578227848257,0.3567687705920429,0.0063383772792585,0.7536287861488561,0.3548447481731012,0.7520 +/- 0.0076,0.3568 +/- 0.0063,0.7536,0.3548,structured_results.csv
structured,prolonged_los,XGBoost,all,12h,0.7715727023574542,0.0063118322485389,0.3916914807745033,0.0070046910707837,0.7728256216056838,0.4045226083949984,0.7716 +/- 0.0063,0.3917 +/- 0.0070,0.7728,0.4045,structured_results.csv
structured,prolonged_los,LogisticRegression,sepsis,12h,0.7348348845333288,0.0142686236135368,0.4579269396220233,0.020601708261351,0.7374609130057072,0.4704407610144833,0.7348 +/- 0.0143,0.4579 +/- 0.0206,0.7375,0.4704,structured_results.csv
structured,prolonged_los,XGBoost,sepsis,12h,0.756749143681291,0.010948864685169,0.4964656613542537,0.0204478179749363,0.7589150894235639,0.4977641715238477,0.7567 +/- 0.0109,0.4965 +/- 0.0204,0.7589,0.4978,structured_results.csv
structured,prolonged_los,LogisticRegression,aki,12h,0.7332145620444183,0.0060547009815208,0.3924401251745872,0.0067604027169175,0.7438801536930999,0.415255816428008,0.7332 +/- 0.0061,0.3924 +/- 0.0068,0.7439,0.4153,structured_results.csv
structured,prolonged_los,XGBoost,aki,12h,0.756186941692962,0.0061496221451288,0.4347621245909445,0.0062936524992852,0.7587840997104589,0.442274261752021,0.7562 +/- 0.0061,0.4348 +/- 0.0063,0.7588,0.4423,structured_results.csv
structured,mortality,LogisticRegression,all,24h,0.8450145077243549,0.0021605452084674,0.4732159250695434,0.0095721285441619,0.8442118572558136,0.4923555588677918,0.8450 +/- 0.0022,0.4732 +/- 0.0096,0.8442,0.4924,structured_results.csv
structured,mortality,XGBoost,all,24h,0.8644068334898085,0.0042276245991752,0.515337606878935,0.0076237639758443,0.86509573270215,0.5305368198668812,0.8644 +/- 0.0042,0.5153 +/- 0.0076,0.8651,0.5305,structured_results.csv
structured,mortality,LogisticRegression,sepsis,24h,0.7995965545006043,0.0043582855796273,0.5060703316353836,0.0098291753621264,0.8048129263814817,0.522153440194763,0.7996 +/- 0.0044,0.5061 +/- 0.0098,0.8048,0.5222,structured_results.csv
structured,mortality,XGBoost,sepsis,24h,0.8149595107582954,0.0052540338875646,0.5301847602907197,0.0056391683569354,0.8168961524851621,0.5485130692307626,0.8150 +/- 0.0053,0.5302 +/- 0.0056,0.8169,0.5485,structured_results.csv
structured,mortality,LogisticRegression,aki,24h,0.8311183717125751,0.0063407039522889,0.5002018022701112,0.0156945812122211,0.8209169172278438,0.4860544605312939,0.8311 +/- 0.0063,0.5002 +/- 0.0157,0.8209,0.4861,structured_results.csv
structured,mortality,XGBoost,aki,24h,0.8459196343100028,0.0057750521351508,0.5318782047801411,0.0158006935904324,0.8433795483536504,0.5212212906707163,0.8459 +/- 0.0058,0.5319 +/- 0.0158,0.8434,0.5212,structured_results.csv
structured,prolonged_los,LogisticRegression,all,24h,0.7971500985297613,0.0082011234529833,0.4232831827708461,0.0125249166115263,0.8008098207722829,0.4249579738795943,0.7972 +/- 0.0082,0.4233 +/- 0.0125,0.8008,0.4250,structured_results.csv
structured,prolonged_los,XGBoost,all,24h,0.8148931034684095,0.0044792665680615,0.4646884322533114,0.004347898384201,0.8230078779683155,0.4803098684947153,0.8149 +/- 0.0045,0.4647 +/- 0.0043,0.8230,0.4803,structured_results.csv
structured,prolonged_los,LogisticRegression,sepsis,24h,0.7814153029786242,0.007477009917111,0.5221986758060089,0.0189885341444497,0.7808081343190302,0.5363963222193199,0.7814 +/- 0.0075,0.5222 +/- 0.0190,0.7808,0.5364,structured_results.csv
structured,prolonged_los,XGBoost,sepsis,24h,0.8020282699495181,0.0090098913938796,0.5658940186180313,0.0166912069896201,0.804015534039747,0.5723374579996594,0.8020 +/- 0.0090,0.5659 +/- 0.0167,0.8040,0.5723,structured_results.csv
structured,prolonged_los,LogisticRegression,aki,24h,0.7783910522517739,0.0024991086663595,0.4554964258579169,0.005183040005568,0.7797972399266798,0.465900216511534,0.7784 +/- 0.0025,0.4555 +/- 0.0052,0.7798,0.4659,structured_results.csv
structured,prolonged_los,XGBoost,aki,24h,0.7991023588587756,0.0041950320566591,0.4960338840572126,0.0030395767109101,0.8029994934642307,0.5122960720674871,0.7991 +/- 0.0042,0.4960 +/- 0.0030,0.8030,0.5123,structured_results.csv
text,mortality,XGBoost,,,0.7313918273914368,0.0038417978270551,0.297437760433538,0.0075108719559933,0.7433928783831165,0.3169475117451384,0.7314 +/- 0.0038,0.2974 +/- 0.0075,0.7434,0.3169,text_results.csv
text,mortality,LogisticRegression,,,0.7316142461947045,0.0044261192901002,0.3020468652583655,0.0101408223376597,0.7433619468449075,0.3237403484683891,0.7316 +/- 0.0044,0.3020 +/- 0.0101,0.7434,0.3237,text_results.csv
text,prolonged_los,XGBoost,,,0.661948330150037,0.0035611378273251,0.2680994148536443,0.0027039915839366,0.6722527318377064,0.2787773450179507,0.6619 +/- 0.0036,0.2681 +/- 0.0027,0.6723,0.2788,text_results.csv
text,prolonged_los,LogisticRegression,,,0.6583360507198808,0.0031607250884333,0.2657694540882012,0.0025614244875567,0.6700606418289745,0.2810722244006804,0.6583 +/- 0.0032,0.2658 +/- 0.0026,0.6701,0.2811,text_results.csv
fusion,mortality,Early Fusion,,,0.7614401866904366,0.0060363968061766,0.3471233521439697,0.0160898179343936,0.7641665527887368,0.3568976731504041,0.7614 +/- 0.0060,0.3471 +/- 0.0161,0.7642,0.3569,fusion_results.csv
fusion,mortality,Late Fusion (Alpha=1.0 Structured XGB),all,24h,0.8634421991798036,0.0054404200794141,0.5132178884681049,0.0090904983517202,0.8652647529238169,0.5319724527271329,0.8634 +/- 0.0054,0.5132 +/- 0.0091,0.8653,0.5320,fusion_results_late_xgb.csv
fusion,mortality,Late Fusion (Tuned Alpha XGB Preds),all,24h,0.8635924175060048,0.0054132485217591,0.5132892352467111,0.0098859918386686,0.8653384655987563,0.5318342383902457,0.8636 +/- 0.0054,0.5133 +/- 0.0099,0.8653,0.5318,fusion_results_late_xgb.csv
gru,mortality,temporal_gru_v2,,,0.8483515254620757,0.0040782482037903,0.4880882734181774,0.0148300093704177,0.8392474475249724,0.4714299211142405,0.8484 +/- 0.0041,0.4881 +/- 0.0148,0.8392,0.4714,gru_results.csv
