ablation,note_types,task,model,n_samples,positive_rate,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,feature_nonzero_rate,low_coverage_flag
only_radiology,radiology,prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.6263474685668278,0.0043783384125520505,0.2559757788756668,0.004884046063805603,0.6329758682203769,0.26757027341394723,0.6042710713760707,False
only_radiology,radiology,prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.6295079464060256,0.005042955445151639,0.2603798733436875,0.00762150266089067,0.6350132266346026,0.27514007870171847,0.6042710713760707,False
only_lab_comment,lab_comment,mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.6335993701735891,0.00861879242564395,0.22337651814981405,0.009101680227696127,0.6296799631828889,0.2392119712469845,0.4719159684079702,False
only_lab_comment,lab_comment,mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.6360566667641603,0.007528995540994474,0.23298591891437193,0.008669688217452114,0.6362510354608224,0.24982928717126507,0.4719159684079702,False
only_lab_comment,lab_comment,prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.5786867757118783,0.0067956924081434625,0.23010993558776635,0.00638423504154973,0.58474817988945,0.24008012874222207,0.4719159684079702,False
only_lab_comment,lab_comment,prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.5832031350494173,0.007130083791048673,0.23743369915705262,0.007020047067407674,0.5901322495869284,0.24606459270546877,0.4719159684079702,False
exclude_nursing,"radiology,lab_comment",mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.6529858067914429,0.00773250396402758,0.23716148253285288,0.008877267008023357,0.6650213499119839,0.26562094528171387,0.7494955164441593,False
exclude_nursing,"radiology,lab_comment",mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.6591281744967118,0.008060951452359615,0.24646372113051726,0.00983921179050901,0.6670637507991839,0.27073547146932186,0.7494955164441593,False
exclude_nursing,"radiology,lab_comment",prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.6482973053709585,0.0076952642761061694,0.2800417187129744,0.006018252956190642,0.6602492052078381,0.2949036095108906,0.7494955164441593,False
exclude_nursing,"radiology,lab_comment",prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.6515105594634318,0.009146295255754807,0.28856779440141184,0.008849609298751494,0.6670116301371508,0.3045520525568738,0.7494955164441593,False
exclude_radiology,"nursing,lab_comment",mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.65296309233583,0.0060759085117985685,0.2514909418961605,0.010795383609915391,0.6582113039204234,0.27965305863049866,0.9991981718317765,False
exclude_radiology,"nursing,lab_comment",mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.6528453978571997,0.006173925202034944,0.2516457677965437,0.00982396126308788,0.6579793786748822,0.2700906672322596,0.9991981718317765,False
exclude_radiology,"nursing,lab_comment",prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.6272180202716168,0.0049007985255473865,0.26484447151985846,0.005879390609414986,0.6397239028857975,0.27971911488300616,0.9991981718317765,False
exclude_radiology,"nursing,lab_comment",prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.6271088112741472,0.006830380312637833,0.26176679566726746,0.005887384242819365,0.6400710095870742,0.2747468296120449,0.9991981718317765,False
exclude_lab_comment,"nursing,radiology",mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.6095225953570964,0.0037423950546661214,0.18630729140696847,0.010649452938393261,0.6328412726256336,0.21274231040240127,0.9992783546485988,False
exclude_lab_comment,"nursing,radiology",mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.6149968752629076,0.010087038205530323,0.18705470386072715,0.012347181520818016,0.6326852052409712,0.20626981179957948,0.9992783546485988,False
exclude_lab_comment,"nursing,radiology",prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.645465594349923,0.0034731431583832975,0.2747580250494934,0.006786064750221219,0.6532151217469504,0.29170067474370154,0.9992783546485988,False
exclude_lab_comment,"nursing,radiology",prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.6460210966340624,0.004434694865825905,0.2792046964565035,0.008530438633361885,0.6525745535722774,0.29827176889718215,0.9992783546485988,False
