window,task,cohort,model,n_samples,n_test,ece,mce,brier_score,positive_rate,mean_predicted_prob,n_bins
24h,mortality,all,XGBoost,15036,15036,0.008051801134464779,0.0718718004226685,0.07899470465018273,0.12350359138068635,0.11716106534004211,10
24h,mortality,all,LogisticRegression,15036,15036,0.009395449256486367,0.0949893330652567,0.08352978298764238,0.12350359138068635,0.11979863800285963,10
24h,mortality,sepsis,XGBoost,6831,6831,0.008582834982755088,0.05723226968556239,0.11335666448117564,0.1825501390718782,0.17844341695308685,10
24h,mortality,sepsis,LogisticRegression,6831,6831,0.008143556408591815,0.07153440926428234,0.11686468372666485,0.1825501390718782,0.1835714401186019,10
24h,mortality,aki,XGBoost,11581,11581,0.011753153165596652,0.07201976680755617,0.09351268567633793,0.1440290130385977,0.14015960693359375,10
24h,mortality,aki,LogisticRegression,11581,11581,0.007698534502323845,0.13252627709213916,0.09804409872356991,0.1440290130385977,0.1452391018223853,10
24h,prolonged_los,all,XGBoost,15036,15036,0.010989122183898817,0.03979063243865966,0.19551404522016538,0.48443735035913804,0.47862115502357483,10
24h,prolonged_los,all,LogisticRegression,15036,15036,0.010080636987252456,0.07576471896852091,0.2067482109268564,0.48443735035913804,0.4782540108275394,10
24h,prolonged_los,sepsis,XGBoost,6831,6831,0.014060087054815172,0.04685620870763456,0.18344717231048266,0.6045966915532133,0.6107337474822998,10
24h,prolonged_los,sepsis,LogisticRegression,6831,6831,0.008650405821902895,0.026514982671571707,0.19611812306230034,0.6045966915532133,0.6048389914170941,10
24h,prolonged_los,aki,XGBoost,11581,11581,0.014069655930560539,0.026779900875783733,0.1981910034436481,0.563768241084535,0.5629950761795044,10
24h,prolonged_los,aki,LogisticRegression,11581,11581,0.00935754434014629,0.09294448741110985,0.21047869660921475,0.563768241084535,0.5624158583579261,10
24h,mortality,all,ClinicalGRU,15036,15036,0.03355606431431372,0.242631196975708,0.0870741456747055,0.12350358814001083,0.11243956536054611,10
24h,mortality,sepsis,ClinicalGRU,6875,6875,0.05887110827511008,0.26685845851898193,0.12752817571163177,0.1831272691488266,0.1621401458978653,10
24h,mortality,aki,ClinicalGRU,11526,11526,0.04214112741997749,0.23475301265716553,0.10364653170108795,0.1492278277873993,0.1329347789287567,10
24h,mortality,all,TextOnly_XGBoost,15036,15036,0.005212183557123731,0.005212183557123731,0.10827762084352249,0.12350359138068635,0.11829140782356262,10
24h,mortality,sepsis,TextOnly_XGBoost,6875,6875,0.0648358574531295,0.0648358574531295,0.15379536022403814,0.18312727272727272,0.11829141527414322,10
24h,mortality,aki,TextOnly_XGBoost,11526,11526,0.030936424902448134,0.030936424902448134,0.12791594720769958,0.14922783272601076,0.11829140782356262,10
24h,mortality,all,EarlyFusion_XGBoost,15036,15036,0.007579336310041876,0.04495775492294973,0.07874483819501872,0.12350359138068635,0.11686452478170395,10
24h,mortality,sepsis,EarlyFusion_XGBoost,6875,6875,0.02257379548874768,0.044348308420556704,0.11568150841563206,0.18312727272727272,0.16560883820056915,10
24h,mortality,aki,EarlyFusion_XGBoost,11526,11526,0.012903170805904737,0.04794183863869195,0.09387888959168869,0.14922783272601076,0.137437641620636,10
